t0,t1,gap_hours,ph0,ec0,ph1_true,ec1_true,ph1_pred,ec1_pred,dph_true,dec_true,dph_pred,dec_pred,dph_rate_pred,dec_rate_pred,train_intervals,gap_bin,ph_abs_error,ec_abs_error,ph_signed_error,ec_signed_error
2025-08-06 10:00:00,2025-08-06 16:30:00,6.5,7.75,1.045,8.83,2.25,8.351596608252859,1.5863457971233128,1.08,1.205,0.6015966082528592,0.541345797123313,0.09255332434659372,0.083283968788202,21,4-8h,0.4784033917471415,0.6636542028766872,-0.4784033917471415,-0.6636542028766872
2025-08-06 16:30:00,2025-08-07 10:00:00,17.5,8.83,2.25,8.05,2.36,8.133450987253488,1.7823655960519638,-0.7799999999999994,0.10999999999999988,-0.6965490127465124,-0.4676344039480361,-0.03980280072837213,-0.02672196593988778,22,12+h,0.08345098725348699,0.5776344039480361,0.08345098725348699,-0.5776344039480361
2025-08-07 10:00:00,2025-08-07 13:00:00,3.0,8.05,2.36,8.11,2.3,8.682257560726313,2.543062934669497,0.05999999999999872,-0.06000000000000005,0.6322575607263117,0.18306293466949702,0.2107525202421039,0.06102097822316568,23,0-4h,0.5722575607263138,0.24306293466949702,0.5722575607263138,0.24306293466949702
2025-08-07 13:00:00,2025-08-10 08:20:00,67.33333333333333,8.11,2.3,7.48,2.18,8.418970689541938,2.3053199243278546,-0.629999999999999,-0.11999999999999966,0.30897068954193946,0.005319924327854689,0.004588673607058507,7.900877714635678e-05,24,12+h,0.9389706895419376,0.12531992432785444,0.9389706895419376,0.12531992432785444
2025-08-10 08:20:00,2025-08-10 15:20:00,7.0,7.48,2.18,8.7,4.18,7.926007500601251,2.6205257702926046,1.2199999999999989,1.9999999999999996,0.44600750060125116,0.44052577029260453,0.06371535722875017,0.06293225289894351,25,4-8h,0.7739924993987479,1.5594742297073951,-0.7739924993987479,-1.5594742297073951
2025-08-10 15:20:00,2025-08-11 08:10:00,16.833333333333332,8.7,4.18,7.44,3.29,8.146360789442038,3.7068861735807843,-1.259999999999999,-0.8899999999999997,-0.5536392105579605,-0.47311382641921534,-0.03288945805294815,-0.028105771866488043,26,12+h,0.7063607894420381,0.4168861735807843,0.7063607894420381,0.4168861735807843
2025-08-11 08:10:00,2025-08-12 08:30:00,24.333333333333332,7.44,3.29,7.81,1.473,7.498638003524254,3.377422889290915,0.3699999999999992,-1.817,0.058638003524253544,0.08742288929091459,0.002409780966750146,0.003592721477708819,27,12+h,0.31136199647574525,1.9044228892909147,-0.31136199647574525,1.9044228892909147
2025-08-12 08:30:00,2025-08-13 11:20:00,26.833333333333332,7.81,1.473,7.41,2.13,8.207675714840715,2.02035302527616,-0.39999999999999947,0.6569999999999998,0.3976757148407147,0.54735302527616,0.01482021297543036,0.020398249389173666,28,12+h,0.7976757148407145,0.10964697472384,0.7976757148407145,-0.10964697472384
2025-08-13 11:20:00,2025-08-14 12:30:00,25.166666666666668,7.41,2.13,8.12,2.39,7.579555554815554,2.7067303432361287,0.7099999999999991,0.26000000000000023,0.16955555481555465,0.576730343236129,0.006737306813863099,0.022916437479581286,29,12+h,0.5404444451844448,0.3167303432361286,-0.5404444451844448,0.3167303432361286
2025-08-14 12:30:00,2025-08-14 16:20:00,3.8333333333333335,8.12,2.39,8.63,2.52,8.427719629629628,2.2917714549244406,0.5100000000000016,0.1299999999999999,0.30771962962962934,-0.09822854507555949,0.08027468599033809,-0.025624837845798127,30,0-4h,0.2022803703703726,0.22822854507555945,-0.2022803703703726,-0.22822854507555945
2025-08-14 16:20:00,2025-08-17 08:10:00,63.833333333333336,8.63,2.52,7.07,1.145,8.016594756447256,1.671584421514201,-1.5600000000000005,-1.375,-0.6134052435527444,-0.8484155784857991,-0.009609481622236205,-0.013291105668184842,31,12+h,0.9465947564472561,0.526584421514201,0.9465947564472561,0.526584421514201
2025-08-17 08:10:00,2025-08-17 12:40:00,4.5,7.07,1.145,9.3,2.68,7.4913827495189995,1.7887254314423666,2.2300000000000004,1.5350000000000001,0.4213827495189995,0.6437254314423665,0.09364061100422211,0.14305009587608145,32,4-8h,1.8086172504810012,0.8912745685576335,-1.8086172504810012,-0.8912745685576335
2025-08-17 12:40:00,2025-08-18 08:30:00,19.833333333333332,9.3,2.68,8.29,1.932,8.493784962398713,1.5953940007123841,-1.0100000000000016,-0.7480000000000002,-0.8062150376012867,-1.084605999287616,-0.040649497694182524,-0.054686016770804174,33,12+h,0.20378496239871424,0.3366059992876158,0.20378496239871424,-0.3366059992876158
