t0,t1,gap_hours,ph0,ec0,dph_true,dec_true,dph_pred,dec_pred,ph1_true,ec1_true,ph1_pred,ec1_pred,train_intervals
2025-08-14 12:30:00,2025-08-14 16:20:00,3.8333333333333335,8.12,2.39,0.5100000000000016,0.1299999999999999,-0.15216813382684996,-0.6143551885164795,8.63,2.52,7.9678318661731495,1.7756448114835206,30
2025-08-14 16:20:00,2025-08-17 08:10:00,63.833333333333336,8.63,2.52,-1.5600000000000005,-1.375,-0.8465732787901398,-1.0701214762523918,7.07,1.145,7.783426721209861,1.4498785237476082,31
2025-08-17 08:10:00,2025-08-17 12:40:00,4.5,7.07,1.145,2.2300000000000004,1.5350000000000001,0.46633012148240516,0.8878804804550217,9.3,2.68,7.536330121482406,2.0328804804550216,32
2025-08-17 12:40:00,2025-08-18 08:30:00,19.833333333333332,9.3,2.68,-1.0100000000000016,-0.7480000000000002,-0.8724331204056203,-1.1899155209577732,8.29,1.932,8.42756687959438,1.490084479042227,33
2025-08-18 08:30:00,2025-08-18 14:40:00,6.166666666666667,8.29,1.932,0.9000000000000004,0.9980000000000002,-0.66610804261893,0.9115568076161691,9.19,2.93,7.623891957381069,2.843556807616169,34
2025-08-18 14:40:00,2025-08-19 12:30:00,21.833333333333332,9.19,2.93,0.41999999999999993,-1.1780000000000002,-0.8779932173849323,-1.2272730229244715,9.61,1.752,8.312006782615068,1.7027269770755287,35
2025-08-19 12:30:00,2025-08-19 17:30:00,5.0,9.61,1.752,-0.5299999999999994,-0.3979999999999999,-0.5775680975994788,0.13717622976757768,9.08,1.354,9.032431902400521,1.8891762297675776,36
2025-08-19 17:30:00,2025-08-20 12:00:00,18.5,9.08,1.354,0.13000000000000078,-0.44210000000000005,-0.5222840597868013,0.6079156096589997,9.21,0.9119,8.5577159402132,1.9619156096589998,37
2025-08-20 12:00:00,2025-08-20 12:20:00,0.3333333333333333,9.21,0.9119,-0.8400000000000016,-0.06680000000000008,-0.26232020136419915,0.2360371053215005,8.37,0.8451,8.947679798635802,1.1479371053215006,38
2025-08-20 12:20:00,2025-08-21 13:00:00,24.666666666666668,8.37,0.8451,-0.22999999999999865,-0.10709999999999997,-0.40133022544524216,-0.002044749063452671,8.14,0.738,7.9686697745547574,0.8430552509365473,39
2025-08-21 13:00:00,2025-08-21 15:00:00,2.0,8.14,0.738,-0.6000000000000005,0.08982000000000001,0.2588794233958227,-0.09124379544095611,7.54,0.82782,8.398879423395822,0.6467562045590439,40
2025-08-21 15:00:00,2025-08-25 09:00:00,90.0,7.54,0.82782,1.5300000000000002,-0.50082,0.2501944091145999,0.16385994240622462,9.07,0.32699999999999996,7.7901944091146,0.9916799424062246,41
2025-08-25 09:00:00,2025-08-25 16:00:00,7.0,9.07,0.327,0.7899999999999991,0.0,-0.2708678875962035,0.7430549793878365,9.86,0.327,8.799132112403797,1.0700549793878364,42
2025-08-25 16:00:00,2025-08-26 12:00:00,20.0,9.86,0.327,-2.4899999999999993,-0.061,-0.07530859175595002,0.2077949629444901,7.37,0.266,9.784691408244049,0.5347949629444901,43
2025-08-26 12:00:00,2025-08-26 16:30:00,4.5,7.37,0.266,-0.009999999999999787,0.04799999999999999,0.9537912816019006,0.5051250719965144,7.36,0.314,8.3237912816019,0.7711250719965144,44
2025-08-26 16:30:00,2025-08-27 11:40:00,19.166666666666668,7.36,0.314,0.39999999999999947,-0.133,0.719178266251722,0.4822478098954418,7.76,0.181,8.079178266251722,0.7962478098954417,45
2025-08-27 11:40:00,2025-08-27 14:10:00,2.5,7.76,0.181,1.17,0.11299999999999999,0.612557753501873,0.14972819566334009,8.93,0.294,8.372557753501873,0.3307281956633401,46
2025-08-27 14:10:00,2025-08-28 13:30:00,23.333333333333332,8.93,0.294,-1.3099999999999996,0.064,-0.45167407856602027,-0.011223728410577,7.62,0.358,8.47832592143398,0.282776271589423,47
2025-08-28 13:30:00,2025-08-28 15:00:00,1.5,7.62,0.358,2.669999999999999,-0.184,0.7928162933940509,0.05230601722479368,10.29,0.174,8.412816293394052,0.41030601722479365,48
2025-08-28 15:00:00,2025-08-31 08:20:00,65.33333333333333,10.29,0.174,-2.5599999999999987,0.006000000000000005,-0.9485849516531171,-0.04591920962789866,7.73,0.18,9.341415048346882,0.12808079037210132,49
2025-08-31 08:20:00,2025-08-31 12:30:00,4.166666666666667,7.73,0.18,2.76,-0.012999999999999984,0.9086928319350064,0.8841443984620896,10.49,0.167,8.638692831935007,1.0641443984620895,50
2025-08-31 12:30:00,2025-09-01 08:30:00,20.0,10.49,0.167,-0.7300000000000004,0.12499999999999997,-0.9463598832750492,-0.0602004824425546,9.76,0.292,9.543640116724951,0.1067995175574454,51
2025-09-01 08:30:00,2025-09-01 12:30:00,4.0,9.76,0.292,0.620000000000001,0.014000000000000012,-0.5890286590489616,0.7001319588284157,10.38,0.306,9.170971340951038,0.9921319588284156,52
2025-09-01 12:30:00,2025-09-02 08:30:00,20.0,10.38,0.306,-2.380000000000001,-0.13799999999999998,-0.840560265085524,0.001002298175183625,8.0,0.168,9.539439734914477,0.3070022981751836,53
2025-09-02 08:30:00,2025-09-02 15:00:00,6.5,8.0,0.168,2.34,0.13099999999999998,0.7196231855661533,0.5359423617639597,10.34,0.299,8.719623185566153,0.7039423617639597,54
2025-09-02 15:00:00,2025-09-03 09:00:00,18.0,10.34,0.299,-1.4700000000000006,0.0020000000000000018,-0.9916114618297925,-0.014712805890373371,8.87,0.301,9.348388538170207,0.2842871941096266,55
