run,train_start,train_end,test_start,test_end,train_rows,test_rows,mae_internal_rh_pct,rmse_internal_rh_pct,r2_internal_rh_pct
32,2025-05-29 01:00:00,2025-07-10 01:10:00,2025-07-10 01:20:00,2025-07-11 01:10:00,6048,144,1.1559908474561906,1.5572871307619522,0.9788135004261102
33,2025-05-29 01:00:00,2025-07-11 01:10:00,2025-07-11 01:20:00,2025-07-12 01:10:00,6192,144,1.627455545181274,2.069067714678713,0.967573929371349
34,2025-05-29 01:00:00,2025-07-12 01:10:00,2025-07-12 01:20:00,2025-07-13 01:10:00,6336,144,2.0419534257354734,2.7068271430591557,0.9523771801258472
35,2025-05-29 01:00:00,2025-07-13 01:10:00,2025-07-13 01:20:00,2025-07-14 01:10:00,6480,144,1.513200168719822,1.9311903162406259,0.9485669011725899
36,2025-05-29 01:00:00,2025-07-14 01:10:00,2025-07-14 01:20:00,2025-07-15 01:10:00,6624,144,0.949568805848863,1.2400411880840307,0.982006498457342
37,2025-05-29 01:00:00,2025-07-15 01:10:00,2025-07-15 01:20:00,2025-07-16 01:10:00,6768,144,1.358490930326674,1.6850695927390276,0.9720427343910217
38,2025-05-29 01:00:00,2025-07-16 01:10:00,2025-07-16 01:20:00,2025-07-17 01:20:00,6912,144,1.660591123638577,2.434861673513991,0.939601770212491
39,2025-05-29 01:00:00,2025-07-17 01:20:00,2025-07-17 01:30:00,2025-07-18 01:20:00,7056,144,1.909083419740465,2.502023163610735,0.9416332970054938
40,2025-05-29 01:00:00,2025-07-18 01:20:00,2025-07-18 01:30:00,2025-07-19 01:20:00,7200,144,2.395282127775404,3.41599696527831,0.8874704675747014
41,2025-05-29 01:00:00,2025-07-19 01:20:00,2025-07-19 01:30:00,2025-07-20 01:20:00,7344,144,1.4449644986623131,1.8743378322861703,0.9654901682821548
42,2025-05-29 01:00:00,2025-07-20 01:20:00,2025-07-20 01:30:00,2025-07-21 01:20:00,7488,144,1.1997665683305532,1.7376696134310508,0.9740977374174251
43,2025-05-29 01:00:00,2025-07-21 01:20:00,2025-07-21 01:30:00,2025-07-22 01:20:00,7632,144,1.2190830140177407,1.5043561988631269,0.9768963083147372
44,2025-05-29 01:00:00,2025-07-22 01:20:00,2025-07-22 01:30:00,2025-07-23 01:20:00,7776,144,1.1382148186764185,1.4117613464639904,0.9804263219568047
45,2025-05-29 01:00:00,2025-07-23 01:20:00,2025-07-23 01:30:00,2025-07-24 01:20:00,7920,144,1.6430354861619731,2.1379646621339674,0.9364499759519931
46,2025-05-29 01:00:00,2025-07-24 01:20:00,2025-07-24 01:30:00,2025-07-25 01:20:00,8064,144,1.4000738214314776,1.8141091155105635,0.9687815872739114
47,2025-05-29 01:00:00,2025-07-25 01:20:00,2025-07-25 01:30:00,2025-07-26 01:20:00,8208,144,2.4521671578996447,2.725033892902883,0.8639257962514909
48,2025-05-29 01:00:00,2025-07-26 01:20:00,2025-07-26 01:30:00,2025-07-27 01:20:00,8352,144,1.1470663253784177,1.5138535471684837,0.9744746454725199
49,2025-05-29 01:00:00,2025-07-27 01:20:00,2025-07-27 01:30:00,2025-07-28 01:20:00,8496,144,1.564977404847887,2.032546540915459,0.9722644260666234
50,2025-05-29 01:00:00,2025-07-28 01:20:00,2025-07-28 01:30:00,2025-07-29 01:20:00,8640,144,1.0531947693939214,1.3476983808761525,0.9866273467906564
51,2025-05-29 01:00:00,2025-07-29 01:20:00,2025-07-29 01:30:00,2025-07-30 01:20:00,8784,144,1.6505200160590279,1.933124465053209,0.9686130203726703
52,2025-05-29 01:00:00,2025-07-30 01:20:00,2025-07-30 01:30:00,2025-07-31 01:20:00,8928,144,1.9798778749389652,2.5331319036779285,0.939549625901821
53,2025-05-29 01:00:00,2025-07-31 01:20:00,2025-07-31 01:30:00,2025-08-01 01:30:00,9072,144,1.1031728055657284,1.4665311905191902,0.9746223521646942
54,2025-05-29 01:00:00,2025-08-01 01:30:00,2025-08-01 01:40:00,2025-08-02 02:40:00,9216,144,1.3741108113098148,1.7351630412200252,0.961781532236623
55,2025-05-29 01:00:00,2025-08-02 02:40:00,2025-08-02 02:50:00,2025-08-03 02:40:00,9360,144,1.5176244774186871,1.95398229940326,0.9558375945326301
56,2025-05-29 01:00:00,2025-08-03 02:40:00,2025-08-03 02:50:00,2025-08-04 02:40:00,9504,144,1.2924870062967937,1.739005832006424,0.9644410622649388
57,2025-05-29 01:00:00,2025-08-04 02:40:00,2025-08-04 02:50:00,2025-08-05 02:40:00,9648,144,1.5546366603410509,2.029768538617169,0.9361881173449436
58,2025-05-29 01:00:00,2025-08-05 02:40:00,2025-08-05 02:50:00,2025-08-06 02:40:00,9792,144,1.36117700517612,1.8198457408515198,0.9530503572545094
59,2025-05-29 01:00:00,2025-08-06 02:40:00,2025-08-06 02:50:00,2025-08-07 02:40:00,9936,144,1.1862666683180074,1.485783645707008,0.9699149087217377
60,2025-05-29 01:00:00,2025-08-07 02:40:00,2025-08-07 02:50:00,2025-08-08 02:40:00,10080,144,1.1560131369120283,1.462583901656577,0.9806728226577178
61,2025-05-29 01:00:00,2025-08-08 02:40:00,2025-08-08 02:50:00,2025-08-09 02:40:00,10224,144,1.8803062371978758,2.303555217729928,0.9501080866049705
62,2025-05-29 01:00:00,2025-08-09 02:40:00,2025-08-09 02:50:00,2025-08-10 02:40:00,10368,144,0.9894116938981724,1.3238159683195891,0.9793397711915409
63,2025-05-29 01:00:00,2025-08-10 02:40:00,2025-08-10 02:50:00,2025-08-11 02:40:00,10512,144,5.985497230420001,9.212720325769148,0.5606109120170203
64,2025-05-29 01:00:00,2025-08-11 02:40:00,2025-08-11 02:50:00,2025-08-12 02:40:00,10656,144,4.115189649394633,5.431496012590917,0.872730408194031
65,2025-05-29 01:00:00,2025-08-12 02:40:00,2025-08-12 02:50:00,2025-08-13 02:40:00,10800,144,7.042046792036529,8.817536360987337,0.3092214919202644
66,2025-05-29 01:00:00,2025-08-13 02:40:00,2025-08-13 02:50:00,2025-08-14 02:40:00,10944,144,3.339742107983149,4.541448264233867,0.8474041629148423
67,2025-05-29 01:00:00,2025-08-14 02:40:00,2025-08-14 02:50:00,2025-08-15 02:40:00,11088,144,2.953487634290103,3.9217162488385418,0.92385044359599
68,2025-05-29 01:00:00,2025-08-15 02:40:00,2025-08-15 02:50:00,2025-08-16 02:40:00,11232,144,3.544320550008143,4.604779098661349,0.9141974328801991
69,2025-05-29 01:00:00,2025-08-16 02:40:00,2025-08-16 02:50:00,2025-08-17 02:40:00,11376,144,3.515259521085651,4.575137930679103,0.6661645736507473
70,2025-05-29 01:00:00,2025-08-17 02:40:00,2025-08-17 02:50:00,2025-08-18 02:40:00,11520,144,5.107389658077752,6.076728702821024,0.6689856112600427
