timestamp,pred_internal_rh_pct,pred_eto_mm,pred_internal_air_temp_c
29/05/2025 16:50:00,68.912056,0.18100184,31.252686
29/05/2025 17:00:00,69.34,0.1597017,30.976475
29/05/2025 17:10:00,69.59154,0.17637818,30.260445
29/05/2025 17:20:00,69.42472,0.1630954,30.318993
29/05/2025 17:30:00,70.11538,0.17351168,30.07923
29/05/2025 17:40:00,69.293945,0.16979507,29.543882
29/05/2025 17:50:00,71.92773,0.18048534,29.701782
29/05/2025 18:00:00,71.669136,0.1300666,29.732754
29/05/2025 18:10:00,73.79186,0.10621223,29.674206
29/05/2025 18:20:00,75.072266,0.10540834,28.588655
29/05/2025 18:30:00,74.599815,0.10524731,28.194174
29/05/2025 18:40:00,75.382484,0.09947768,27.76753
29/05/2025 18:50:00,75.91073,0.102458104,28.783615
29/05/2025 19:00:00,77.21199,0.08462649,28.83518
29/05/2025 19:10:00,77.101295,0.079040006,28.508978
29/05/2025 19:20:00,78.6129,0.076681376,28.52252
29/05/2025 19:30:00,79.60368,0.05978371,28.660574
29/05/2025 19:40:00,79.91251,0.059632327,27.816006
29/05/2025 19:50:00,82.534706,0.017845726,24.226952
29/05/2025 20:00:00,85.63233,0.01656027,23.12438
29/05/2025 20:10:00,85.84728,0.018362645,22.754562
29/05/2025 20:20:00,84.74003,0.018886132,22.500742
29/05/2025 20:30:00,86.49074,0.02126508,22.488483
29/05/2025 20:40:00,85.65926,0.01714508,22.195704
29/05/2025 20:50:00,87.05649,0.007619174,22.075409
29/05/2025 21:00:00,85.588455,0.007323374,22.030563
29/05/2025 21:10:00,84.45224,0.007004157,21.90256
29/05/2025 21:20:00,88.74812,0.004245246,21.796444
29/05/2025 21:30:00,86.87517,0.003955377,22.01947
29/05/2025 21:40:00,86.05779,0.000769565,22.053877
29/05/2025 21:50:00,87.92938,0.00576807,21.711054
29/05/2025 22:00:00,87.297905,0.00867925,21.6633
29/05/2025 22:10:00,88.44706,0.007060675,21.682928
29/05/2025 22:20:00,89.600685,0.003674274,21.237902
29/05/2025 22:30:00,88.14507,0.003852146,21.423002
29/05/2025 22:40:00,86.445625,0.006813346,21.932543
29/05/2025 22:50:00,80.97918,0.006817912,22.440638
29/05/2025 23:00:00,76.46372,0.005593566,22.376905
29/05/2025 23:10:00,74.91467,0.006170062,22.084103
29/05/2025 23:20:00,75.699326,0.003737534,21.731123
29/05/2025 23:30:00,74.22678,0.007882766,22.3045
29/05/2025 23:40:00,76.18645,0.008054723,22.391787
29/05/2025 23:50:00,74.28729,0.005533263,22.18126
30/05/2025 00:00:00,73.72141,0.007410537,23.162209
30/05/2025 00:10:00,72.62307,0.01269494,24.04973
30/05/2025 00:20:00,73.49539,0.014688722,24.253517
30/05/2025 00:30:00,77.9381,0.01172526,24.266945
30/05/2025 00:40:00,76.46736,0.011689208,24.531715
30/05/2025 00:50:00,75.74028,0.013691835,24.823095
30/05/2025 01:00:00,75.749664,0.011637257,25.006706
30/05/2025 01:10:00,75.65758,0.011102371,24.848408
30/05/2025 01:20:00,76.09854,0.014350368,24.98468
30/05/2025 01:30:00,81.544586,0.01211975,25.364363
30/05/2025 01:40:00,84.938545,0.011832049,25.209608
30/05/2025 01:50:00,81.85792,0.010321922,24.592762
30/05/2025 02:00:00,85.34339,0.01132056,24.854757
30/05/2025 02:10:00,84.96347,0.01066065,25.24547
30/05/2025 02:20:00,86.870026,0.010423443,24.815214
30/05/2025 02:30:00,86.979546,0.01098813,24.559721
30/05/2025 02:40:00,88.826096,0.009865437,24.688993
30/05/2025 02:50:00,88.28381,0.00993131,25.044708
30/05/2025 03:00:00,88.26999,0.012274787,25.588783
30/05/2025 03:10:00,88.79935,0.012422197,25.084803
30/05/2025 03:20:00,88.573456,0.015022783,25.560946
30/05/2025 03:30:00,89.75676,0.01448975,25.398447
30/05/2025 03:40:00,89.35484,0.0118625,25.614376
30/05/2025 03:50:00,87.189835,0.014072585,25.67007
30/05/2025 04:00:00,87.13693,0.016784173,25.86078
30/05/2025 04:10:00,83.01964,0.01711354,25.079166
30/05/2025 04:20:00,85.26675,0.014232071,24.778444
30/05/2025 04:30:00,86.85819,0.011172818,24.259737
30/05/2025 04:40:00,86.4032,0.010488889,24.514288
30/05/2025 04:50:00,86.6406,0.011656772,24.239914
30/05/2025 05:00:00,88.22171,0.00957552,24.085752
30/05/2025 05:10:00,87.017624,0.008943969,23.545753
30/05/2025 05:20:00,89.10791,0.008718647,23.517977
30/05/2025 05:30:00,91.32595,0.012234519,24.030035
30/05/2025 05:40:00,90.414635,0.012584898,24.165546
30/05/2025 05:50:00,80.29663,0.034180485,25.864908
30/05/2025 06:00:00,76.0121,0.036443584,27.679277
30/05/2025 06:10:00,76.0292,0.039365668,27.831825
30/05/2025 06:20:00,79.96658,0.04456492,26.323849
30/05/2025 06:30:00,75.21683,0.053576652,26.552723
30/05/2025 06:40:00,74.88505,0.07109843,26.797028
30/05/2025 06:50:00,74.20615,0.11390842,28.60973
30/05/2025 07:00:00,77.848885,0.13332368,28.634653
30/05/2025 07:10:00,79.94969,0.1594353,29.67176
30/05/2025 07:20:00,82.52797,0.16567671,30.670238
30/05/2025 07:30:00,84.70675,0.21473956,30.174387
30/05/2025 07:40:00,84.833984,0.23568939,30.468782
30/05/2025 07:50:00,83.53794,0.26220167,30.563156
30/05/2025 08:00:00,83.67573,0.26158702,30.471432
30/05/2025 08:10:00,87.4434,0.31063467,31.553823
30/05/2025 08:20:00,78.16471,0.34752905,31.281113
30/05/2025 08:30:00,75.518364,0.39662918,30.742577
30/05/2025 08:40:00,74.94713,0.39017773,31.125402
30/05/2025 08:50:00,75.42142,0.36090466,31.479666
30/05/2025 09:00:00,77.707275,0.35634992,30.91183
30/05/2025 09:10:00,77.90679,0.36034948,31.441366
30/05/2025 09:20:00,75.63565,0.32471788,31.500185
30/05/2025 09:30:00,70.64855,0.29690552,32.301903
30/05/2025 09:40:00,70.51254,0.27431428,31.648592
30/05/2025 09:50:00,74.27261,0.27553865,30.979763
30/05/2025 10:00:00,72.375244,0.2672094,32.01234
30/05/2025 10:10:00,69.57777,0.29929033,32.041145
30/05/2025 10:20:00,70.44426,0.32705125,32.21485
30/05/2025 10:30:00,68.0626,0.3977236,31.950785
30/05/2025 10:40:00,66.44877,0.455327,32.01441
30/05/2025 10:50:00,66.2531,0.44757885,32.13771
30/05/2025 11:00:00,64.98272,0.5017326,31.962042
30/05/2025 11:10:00,65.374504,0.56724703,32.4362
30/05/2025 11:20:00,65.80517,0.58312637,31.743462
30/05/2025 11:30:00,65.60905,0.6181813,32.49194
30/05/2025 11:40:00,63.29782,0.62462145,32.52036
30/05/2025 11:50:00,63.330906,0.6264853,31.928942
30/05/2025 12:00:00,63.580666,0.60416985,32.606205
30/05/2025 12:10:00,62.8446,0.6060369,32.69808
30/05/2025 12:20:00,63.070904,0.60724497,32.509262
30/05/2025 12:30:00,62.256855,0.5818185,32.065765
30/05/2025 12:40:00,63.41014,0.5603707,31.98348
30/05/2025 12:50:00,63.641758,0.551795,32.442936
30/05/2025 13:00:00,63.29623,0.5610744,32.286297
30/05/2025 13:10:00,63.23528,0.55922925,32.38664
30/05/2025 13:20:00,61.742302,0.56083184,32.928097
30/05/2025 13:30:00,62.36257,0.5427523,32.517162
30/05/2025 13:40:00,61.382763,0.545486,32.487198
30/05/2025 13:50:00,61.978745,0.54956406,32.880592
30/05/2025 14:00:00,62.517292,0.56679696,32.42454
30/05/2025 14:10:00,63.097874,0.5312081,32.2847
30/05/2025 14:20:00,60.696224,0.54445326,32.23204
30/05/2025 14:30:00,60.260006,0.54581535,31.999796
30/05/2025 14:40:00,63.54936,0.544993,31.753529
30/05/2025 14:50:00,61.801575,0.45017108,31.65806
30/05/2025 15:00:00,60.668896,0.43970907,31.684397
30/05/2025 15:10:00,61.76136,0.40137175,31.342012
30/05/2025 15:20:00,62.75172,0.3021272,31.246029
30/05/2025 15:30:00,64.0968,0.21444415,31.151052
30/05/2025 15:40:00,61.850193,0.17574528,31.162962
30/05/2025 15:50:00,63.495186,0.13237453,30.890892
30/05/2025 16:00:00,64.48902,0.11132783,31.015171
30/05/2025 16:10:00,63.710087,0.13377605,30.91049
30/05/2025 16:20:00,64.720604,0.14831902,30.813385
30/05/2025 16:30:00,64.9909,0.1606153,30.520319
30/05/2025 16:40:00,66.171555,0.15585344,30.621408
30/05/2025 16:50:00,66.757965,0.14176899,30.520187
30/05/2025 17:00:00,66.90205,0.1575817,30.200882
30/05/2025 17:10:00,67.45851,0.14349014,29.737085
30/05/2025 17:20:00,67.45997,0.15307915,30.10679
30/05/2025 17:30:00,68.51284,0.13841493,30.114536
30/05/2025 17:40:00,68.4771,0.13488491,29.549068
30/05/2025 17:50:00,72.43878,0.10321704,29.441559
30/05/2025 18:00:00,73.6442,0.10785572,29.349953
30/05/2025 18:10:00,72.59421,0.08660979,28.9575
30/05/2025 18:20:00,72.52069,0.091301434,28.726927
30/05/2025 18:30:00,71.781876,0.09408447,27.813051
30/05/2025 18:40:00,71.38375,0.11008412,27.737898
30/05/2025 18:50:00,72.686386,0.098420165,27.028452
30/05/2025 19:00:00,73.911446,0.09505026,27.038027
30/05/2025 19:10:00,76.61914,0.09868419,27.152788
30/05/2025 19:20:00,75.99975,0.081760965,27.294973
30/05/2025 19:30:00,81.19937,0.057203475,26.1559
30/05/2025 19:40:00,81.72357,0.041134,25.885946
30/05/2025 19:50:00,81.36785,0,24.603321
30/05/2025 20:00:00,78.42219,0.002608152,24.056978
30/05/2025 20:10:00,79.9794,0.017329538,23.816177
30/05/2025 20:20:00,81.37313,0.01540425,23.124916
30/05/2025 20:30:00,85.710526,0.00847702,22.232668
30/05/2025 20:40:00,84.34358,0.006351825,22.192474
30/05/2025 20:50:00,90.169205,0.007402212,21.94768
30/05/2025 21:00:00,85.68934,0.002122149,22.344288
30/05/2025 21:10:00,86.90618,0.001636046,21.808338
30/05/2025 21:20:00,87.77912,0.001957945,21.78568
30/05/2025 21:30:00,85.984436,0.00167808,21.956335
30/05/2025 21:40:00,80.29344,0.002603643,21.94409
30/05/2025 21:50:00,76.52513,0.002780246,22.05155
30/05/2025 22:00:00,74.922035,0.002652992,21.911486
30/05/2025 22:10:00,77.20608,0.000785958,21.19041
