"תחנה","תאריך ושעה (שעון קיץ)","קרינה מפוזרת (וואט/מ""ר)","קרינה גלובלית (וואט/מ""ר)","קרינה ישירה (וואט/מ""ר)"
"בית דגן קרינה","29/05/2025 00:00","0","0","0"
"בית דגן קרינה","29/05/2025 00:10","0","0","0"
"בית דגן קרינה","29/05/2025 00:20","0","0","0"
"בית דגן קרינה","29/05/2025 00:30","0","0","0"
"בית דגן קרינה","29/05/2025 00:40","0","0","0"
"בית דגן קרינה","29/05/2025 00:50","0","0","0"
"בית דגן קרינה","29/05/2025 01:00","0","0","0"
"בית דגן קרינה","29/05/2025 01:10","0","0","0"
"בית דגן קרינה","29/05/2025 01:20","0","0","0"
"בית דגן קרינה","29/05/2025 01:30","0","0","0"
"בית דגן קרינה","29/05/2025 01:40","0","0","0"
"בית דגן קרינה","29/05/2025 01:50","0","0","0"
"בית דגן קרינה","29/05/2025 02:00","0","0","0"
"בית דגן קרינה","29/05/2025 02:10","0","0","0"
"בית דגן קרינה","29/05/2025 02:20","0","0","0"
"בית דגן קרינה","29/05/2025 02:30","0","0","0"
"בית דגן קרינה","29/05/2025 02:40","0","0","0"
"בית דגן קרינה","29/05/2025 02:50","0","0","0"
"בית דגן קרינה","29/05/2025 03:00","0","0","0"
"בית דגן קרינה","29/05/2025 03:10","0","0","0"
"בית דגן קרינה","29/05/2025 03:20","0","0","0"
"בית דגן קרינה","29/05/2025 03:30","0","0","0"
"בית דגן קרינה","29/05/2025 03:40","0","0","0"
"בית דגן קרינה","29/05/2025 03:50","0","0","0"
"בית דגן קרינה","29/05/2025 04:00","0","0","0"
"בית דגן קרינה","29/05/2025 04:10","0","0","0"
"בית דגן קרינה","29/05/2025 04:20","0","0","0"
"בית דגן קרינה","29/05/2025 04:30","0","0","0"
"בית דגן קרינה","29/05/2025 04:40","0","0","0"
"בית דגן קרינה","29/05/2025 04:50","0","0","0"
"בית דגן קרינה","29/05/2025 05:00","0","0","0"
"בית דגן קרינה","29/05/2025 05:10","0","0","0"
"בית דגן קרינה","29/05/2025 05:20","0","0","0"
"בית דגן קרינה","29/05/2025 05:30","0","0","0"
"בית דגן קרינה","29/05/2025 05:40","1","1","0"
"בית דגן קרינה","29/05/2025 05:50","9","9","0"
"בית דגן קרינה","29/05/2025 06:00","16","18","0"
"בית דגן קרינה","29/05/2025 06:10","27","30","5"
"בית דגן קרינה","29/05/2025 06:20","37","40","8"
"בית דגן קרינה","29/05/2025 06:30","45","70","93"
"בית דגן קרינה","29/05/2025 06:40","55","120","312"
"בית דגן קרינה","29/05/2025 06:50","63","152","364"
"בית דגן קרינה","29/05/2025 07:00","76","193","402"
"בית דגן קרינה","29/05/2025 07:10","81","225","439"
"בית דגן קרינה","29/05/2025 07:20","78","257","491"
"בית דגן קרינה","29/05/2025 07:30","82","297","535"
"בית דגן קרינה","29/05/2025 07:40","87","331","552"
"בית דגן קרינה","29/05/2025 07:50","96","372","572"
"בית דגן קרינה","29/05/2025 08:00","107","404","563"
"בית דגן קרינה","29/05/2025 08:10","150","464","547"
"בית דגן קרינה","29/05/2025 08:20","122","354","358"
"בית דגן קרינה","29/05/2025 08:30","152","570","654"
"בית דגן קרינה","29/05/2025 08:40","197","508","431"
"בית דגן קרינה","29/05/2025 08:50","152","325","213"
"בית דגן קרינה","29/05/2025 09:00","158","475","402"
"בית דגן קרינה","29/05/2025 09:10","195","738","694"
"בית דגן קרינה","29/05/2025 09:20","179","748","700"
"בית דגן קרינה","29/05/2025 09:30","144","712","679"
"בית דגן קרינה","29/05/2025 09:40","174","745","650"
"בית דגן קרינה","29/05/2025 09:50","146","417","288"
"בית דגן קרינה","29/05/2025 10:00","129","737","660"
"בית דגן קרינה","29/05/2025 10:10","115","678","589"
"בית דגן קרינה","29/05/2025 10:20","102","858","798"
"בית דגן קרינה","29/05/2025 10:30","95","885","819"
"בית דגן קרינה","29/05/2025 10:40","91","908","832"
"בית דגן קרינה","29/05/2025 10:50","88","929","841"
"בית דגן קרינה","29/05/2025 11:00","93","940","831"
"בית דגן קרינה","29/05/2025 11:10","92","955","831"
"בית דגן קרינה","29/05/2025 11:20","91","971","836"
"בית דגן קרינה","29/05/2025 11:30","91","985","840"
"בית דגן קרינה","29/05/2025 11:40","89","995","842"
"בית דגן קרינה","29/05/2025 11:50","84","1015","859"
"בית דגן קרינה","29/05/2025 12:00","86","1018","853"
"בית דגן קרינה","29/05/2025 12:10","85","1028","858"
"בית דגן קרינה","29/05/2025 12:20","84","1036","863"
"בית דגן קרינה","29/05/2025 12:30","83","1039","864"
"בית דגן קרינה","29/05/2025 12:40","82","1039","863"
"בית דגן קרינה","29/05/2025 12:50","81","1041","866"
"בית דגן קרינה","29/05/2025 13:00","82","1037","863"
"בית דגן קרינה","29/05/2025 13:10","82","1031","854"
"בית דגן קרינה","29/05/2025 13:20","81","1026","852"
"בית דגן קרינה","29/05/2025 13:30","80","1020","855"
"בית דגן קרינה","29/05/2025 13:40","80","1010","852"
"בית דגן קרינה","29/05/2025 13:50","78","1001","854"
"בית דגן קרינה","29/05/2025 14:00","77","989","852"
"בית דגן קרינה","29/05/2025 14:10","81","972","843"
"בית דגן קרינה","29/05/2025 14:20","83","957","839"
"בית דגן קרינה","29/05/2025 14:30","80","949","849"
"בית דגן קרינה","29/05/2025 14:40","82","928","841"
"בית דגן קרינה","29/05/2025 14:50","85","902","826"
"בית דגן קרינה","29/05/2025 15:00","85","876","816"
"בית דגן קרינה","29/05/2025 15:10","92","852","800"
"בית דגן קרינה","29/05/2025 15:20","91","832","800"
"בית דגן קרינה","29/05/2025 15:30","91","808","795"
"בית דגן קרינה","29/05/2025 15:40","86","785","799"
"בית דגן קרינה","29/05/2025 15:50","83","746","782"
"בית דגן קרינה","29/05/2025 16:00","78","724","791"
"בית דגן קרינה","29/05/2025 16:10","73","694","791"
"בית דגן קרינה","29/05/2025 16:20","70","661","787"
"בית דגן קרינה","29/05/2025 16:30","73","619","762"
"בית דגן קרינה","29/05/2025 16:40","73","585","754"
"בית דגן קרינה","29/05/2025 16:50","71","546","740"
"בית דגן קרינה","29/05/2025 17:00","72","506","719"
"בית דגן קרינה","29/05/2025 17:10","68","475","724"
"בית דגן קרינה","29/05/2025 17:20","67","433","700"
"בית דגן קרינה","29/05/2025 17:30","66","397","681"
"בית דגן קרינה","29/05/2025 17:40","62","363","670"
"בית דגן קרינה","29/05/2025 17:50","63","328","647"
"בית דגן קרינה","29/05/2025 18:00","62","289","613"
"בית דגן קרינה","29/05/2025 18:10","60","252","580"
"בית דגן קרינה","29/05/2025 18:20","58","213","536"
"בית דגן קרינה","29/05/2025 18:30","55","176","488"
"בית דגן קרינה","29/05/2025 18:40","52","140","422"
"בית דגן קרינה","29/05/2025 18:50","47","108","351"
"בית דגן קרינה","29/05/2025 19:00","41","76","261"
"בית דגן קרינה","29/05/2025 19:10","32","48","88"
"בית דגן קרינה","29/05/2025 19:20","19","20","0"
"בית דגן קרינה","29/05/2025 19:30","11","11","0"
"בית דגן קרינה","29/05/2025 19:40","4","3","0"
"בית דגן קרינה","29/05/2025 19:50","0","0","0"
"בית דגן קרינה","29/05/2025 20:00","0","0","0"
"בית דגן קרינה","29/05/2025 20:10","0","0","0"
"בית דגן קרינה","29/05/2025 20:20","0","0","0"
"בית דגן קרינה","29/05/2025 20:30","0","0","0"
"בית דגן קרינה","29/05/2025 20:40","0","0","0"
"בית דגן קרינה","29/05/2025 20:50","0","0","0"
"בית דגן קרינה","29/05/2025 21:00","0","0","0"
"בית דגן קרינה","29/05/2025 21:10","0","0","0"
"בית דגן קרינה","29/05/2025 21:20","0","0","0"
"בית דגן קרינה","29/05/2025 21:30","0","0","0"
"בית דגן קרינה","29/05/2025 21:40","0","0","0"
"בית דגן קרינה","29/05/2025 21:50","0","0","0"
"בית דגן קרינה","29/05/2025 22:00","0","0","0"
"בית דגן קרינה","29/05/2025 22:10","0","0","0"
"בית דגן קרינה","29/05/2025 22:20","0","0","0"
"בית דגן קרינה","29/05/2025 22:30","0","0","0"
"בית דגן קרינה","29/05/2025 22:40","0","0","0"
"בית דגן קרינה","29/05/2025 22:50","0","0","0"
"בית דגן קרינה","29/05/2025 23:00","0","0","0"
"בית דגן קרינה","29/05/2025 23:10","0","0","0"
"בית דגן קרינה","29/05/2025 23:20","0","0","0"
"בית דגן קרינה","29/05/2025 23:30","0","0","0"
"בית דגן קרינה","29/05/2025 23:40","0","0","0"
"בית דגן קרינה","29/05/2025 23:50","0","0","0"
"בית דגן קרינה","30/05/2025 00:00","0","0","0"
"בית דגן קרינה","30/05/2025 00:10","0","0","0"
"בית דגן קרינה","30/05/2025 00:20","0","0","0"
"בית דגן קרינה","30/05/2025 00:30","0","0","0"
"בית דגן קרינה","30/05/2025 00:40","0","0","0"
"בית דגן קרינה","30/05/2025 00:50","0","0","0"
"בית דגן קרינה","30/05/2025 01:00","0","0","0"
"בית דגן קרינה","30/05/2025 01:10","0","0","0"
"בית דגן קרינה","30/05/2025 01:20","0","0","0"
"בית דגן קרינה","30/05/2025 01:30","0","0","0"
"בית דגן קרינה","30/05/2025 01:40","0","0","0"
"בית דגן קרינה","30/05/2025 01:50","0","0","0"
"בית דגן קרינה","30/05/2025 02:00","0","0","0"
"בית דגן קרינה","30/05/2025 02:10","0","0","0"
"בית דגן קרינה","30/05/2025 02:20","0","0","0"
"בית דגן קרינה","30/05/2025 02:30","0","0","0"
"בית דגן קרינה","30/05/2025 02:40","0","0","0"
"בית דגן קרינה","30/05/2025 02:50","0","0","0"
"בית דגן קרינה","30/05/2025 03:00","0","0","0"
"בית דגן קרינה","30/05/2025 03:10","0","0","0"
"בית דגן קרינה","30/05/2025 03:20","0","0","0"
"בית דגן קרינה","30/05/2025 03:30","0","0","0"
"בית דגן קרינה","30/05/2025 03:40","0","0","0"
"בית דגן קרינה","30/05/2025 03:50","0","0","0"
"בית דגן קרינה","30/05/2025 04:00","0","0","0"
"בית דגן קרינה","30/05/2025 04:10","0","0","0"
"בית דגן קרינה","30/05/2025 04:20","0","0","0"
"בית דגן קרינה","30/05/2025 04:30","0","0","0"
"בית דגן קרינה","30/05/2025 04:40","0","0","0"
"בית דגן קרינה","30/05/2025 04:50","0","0","0"
"בית דגן קרינה","30/05/2025 05:00","0","0","0"
"בית דגן קרינה","30/05/2025 05:10","0","0","0"
"בית דגן קרינה","30/05/2025 05:20","0","0","0"
"בית דגן קרינה","30/05/2025 05:30","0","0","0"
"בית דגן קרינה","30/05/2025 05:40","0","0","0"
"בית דגן קרינה","30/05/2025 05:50","9","9","0"
"בית דגן קרינה","30/05/2025 06:00","17","18","1"
"בית דגן קרינה","30/05/2025 06:10","26","28","7"
"בית דגן קרינה","30/05/2025 06:20","39","40","8"
"בית דגן קרינה","30/05/2025 06:30","48","74","112"
"בית דגן קרינה","30/05/2025 06:40","54","121","340"
"בית דגן קרינה","30/05/2025 06:50","62","155","395"
"בית דגן קרינה","30/05/2025 07:00","72","186","398"
"בית דגן קרינה","30/05/2025 07:10","75","215","425"
"בית דגן קרינה","30/05/2025 07:20","79","254","481"
"בית דגן קרינה","30/05/2025 07:30","81","289","522"
"בית דגן קרינה","30/05/2025 07:40","82","325","559"
"בית דגן קרינה","30/05/2025 07:50","82","367","604"
"בית דגן קרינה","30/05/2025 08:00","84","402","628"
"בית דגן קרינה","30/05/2025 08:10","86","439","648"
"בית דגן קרינה","30/05/2025 08:20","89","475","664"
"בית דגן קרינה","30/05/2025 08:30","90","510","682"
"בית דגן קרינה","30/05/2025 08:40","96","545","690"
"בית דגן קרינה","30/05/2025 08:50","100","569","680"
"בית דגן קרינה","30/05/2025 09:00","104","613","704"
"בית דגן קרינה","30/05/2025 09:10","111","632","683"
"בית דגן קרינה","30/05/2025 09:20","108","672","715"
"בית דגן קרינה","30/05/2025 09:30","116","714","731"
"בית דגן קרינה","30/05/2025 09:40","137","704","648"
"בית דגן קרינה","30/05/2025 09:50","129","731","668"
"בית דגן קרינה","30/05/2025 10:00","125","789","732"
"בית דגן קרינה","30/05/2025 10:10","135","829","744"
"בית דגן קרינה","30/05/2025 10:20","132","845","744"
"בית דגן קרינה","30/05/2025 10:30","121","865","760"
"בית דגן קרינה","30/05/2025 10:40","126","884","755"
"בית דגן קרינה","30/05/2025 10:50","125","905","764"
"בית דגן קרינה","30/05/2025 11:00","121","924","775"
"בית דגן קרינה","30/05/2025 11:10","119","939","777"
"בית דגן קרינה","30/05/2025 11:20","118","948","774"
"בית דגן קרינה","30/05/2025 11:30","117","967","784"
"בית דגן קרינה","30/05/2025 11:40","112","984","797"
"בית דגן קרינה","30/05/2025 11:50","112","992","797"
"בית דגן קרינה","30/05/2025 12:00","110","1004","803"
"בית דגן קרינה","30/05/2025 12:10","107","1012","809"
"בית דגן קרינה","30/05/2025 12:20","109","1015","804"
"בית דגן קרינה","30/05/2025 12:30","108","1019","806"
"בית דגן קרינה","30/05/2025 12:40","110","1019","804"
"בית דגן קרינה","30/05/2025 12:50","108","1022","808"
"בית דגן קרינה","30/05/2025 13:00","106","1023","811"
"בית דגן קרינה","30/05/2025 13:10","109","1016","799"
"בית דגן קרינה","30/05/2025 13:20","106","1013","793"
"בית דגן קרינה","30/05/2025 13:30","106","1005","792"
"בית דגן קרינה","30/05/2025 13:40","105","996","790"
"בית דגן קרינה","30/05/2025 13:50","105","986","788"
"בית דגן קרינה","30/05/2025 14:00","104","973","786"
"בית דגן קרינה","30/05/2025 14:10","102","962","787"
"בית דגן קרינה","30/05/2025 14:20","104","942","778"
"בית דגן קרינה","30/05/2025 14:30","104","924","774"
"בית דגן קרינה","30/05/2025 14:40","101","909","777"
"בית דגן קרינה","30/05/2025 14:50","103","887","768"
"בית דגן קרינה","30/05/2025 15:00","103","862","759"
"בית דגן קרינה","30/05/2025 15:10","102","840","756"
"בית דגן קרינה","30/05/2025 15:20","101","818","752"
"בית דגן קרינה","30/05/2025 15:30","102","790","740"
"בית דגן קרינה","30/05/2025 15:40","98","770","745"
"בית דגן קרינה","30/05/2025 15:50","97","739","735"
"בית דגן קרינה","30/05/2025 16:00","95","710","728"
"בית דגן קרינה","30/05/2025 16:10","94","678","719"
"בית דגן קרינה","30/05/2025 16:20","92","646","711"
"בית דגן קרינה","30/05/2025 16:30","88","615","707"
"בית דגן קרינה","30/05/2025 16:40","86","585","701"
"בית דגן קרינה","30/05/2025 16:50","85","549","686"
"בית דגן קרינה","30/05/2025 17:00","83","514","672"
"בית דגן קרינה","30/05/2025 17:10","81","483","665"
"בית דגן קרינה","30/05/2025 17:20","80","448","648"
"בית דגן קרינה","30/05/2025 17:30","78","410","624"
"בית דגן קרינה","30/05/2025 17:40","77","347","603"
"בית דגן קרינה","30/05/2025 17:50","74","241","583"
"בית דגן קרינה","30/05/2025 18:00","71","246","555"
"בית דגן קרינה","30/05/2025 18:10","69","235","525"
"בית דגן קרינה","30/05/2025 18:20","67","214","477"
"בית דגן קרינה","30/05/2025 18:30","63","181","431"
"בית דגן קרינה","30/05/2025 18:40","57","142","375"
"בית דגן קרינה","30/05/2025 18:50","50","108","314"
"בית דגן קרינה","30/05/2025 19:00","42","79","256"
"בית דגן קרינה","30/05/2025 19:10","32","49","90"
"בית דגן קרינה","30/05/2025 19:20","20","22","0"
"בית דגן קרינה","30/05/2025 19:30","12","12","0"
"בית דגן קרינה","30/05/2025 19:40","5","4","0"
"בית דגן קרינה","30/05/2025 19:50","0","0","0"
"בית דגן קרינה","30/05/2025 20:00","0","0","0"
"בית דגן קרינה","30/05/2025 20:10","0","0","0"
"בית דגן קרינה","30/05/2025 20:20","0","0","0"
"בית דגן קרינה","30/05/2025 20:30","0","0","0"
"בית דגן קרינה","30/05/2025 20:40","0","0","0"
"בית דגן קרינה","30/05/2025 20:50","0","0","0"
"בית דגן קרינה","30/05/2025 21:00","0","0","0"
"בית דגן קרינה","30/05/2025 21:10","0","0","0"
"בית דגן קרינה","30/05/2025 21:20","0","0","0"
"בית דגן קרינה","30/05/2025 21:30","0","0","0"
"בית דגן קרינה","30/05/2025 21:40","0","0","0"
"בית דגן קרינה","30/05/2025 21:50","0","0","0"
"בית דגן קרינה","30/05/2025 22:00","0","0","0"
"בית דגן קרינה","30/05/2025 22:10","0","0","0"
"בית דגן קרינה","30/05/2025 22:20","0","0","0"
"בית דגן קרינה","30/05/2025 22:30","0","0","0"
"בית דגן קרינה","30/05/2025 22:40","0","0","0"
"בית דגן קרינה","30/05/2025 22:50","0","0","0"
"בית דגן קרינה","30/05/2025 23:00","0","0","0"
"בית דגן קרינה","30/05/2025 23:10","0","0","0"
"בית דגן קרינה","30/05/2025 23:20","0","0","0"
"בית דגן קרינה","30/05/2025 23:30","0","0","0"
"בית דגן קרינה","30/05/2025 23:40","0","0","0"
"בית דגן קרינה","30/05/2025 23:50","0","0","0"
"בית דגן קרינה","31/05/2025 00:00","0","0","0"
"בית דגן קרינה","31/05/2025 00:10","0","0","0"
"בית דגן קרינה","31/05/2025 00:20","0","0","0"
"בית דגן קרינה","31/05/2025 00:30","0","0","0"
"בית דגן קרינה","31/05/2025 00:40","0","0","0"
"בית דגן קרינה","31/05/2025 00:50","0","0","0"
"בית דגן קרינה","31/05/2025 01:00","0","0","0"
"בית דגן קרינה","31/05/2025 01:10","0","0","0"
"בית דגן קרינה","31/05/2025 01:20","0","0","0"
"בית דגן קרינה","31/05/2025 01:30","0","0","0"
"בית דגן קרינה","31/05/2025 01:40","0","0","0"
"בית דגן קרינה","31/05/2025 01:50","0","0","0"
"בית דגן קרינה","31/05/2025 02:00","0","0","0"
"בית דגן קרינה","31/05/2025 02:10","0","0","0"
"בית דגן קרינה","31/05/2025 02:20","0","0","0"
"בית דגן קרינה","31/05/2025 02:30","0","0","0"
"בית דגן קרינה","31/05/2025 02:40","0","0","0"
"בית דגן קרינה","31/05/2025 02:50","0","0","0"
"בית דגן קרינה","31/05/2025 03:00","0","0","0"
"בית דגן קרינה","31/05/2025 03:10","0","0","0"
"בית דגן קרינה","31/05/2025 03:20","0","0","0"
"בית דגן קרינה","31/05/2025 03:30","0","0","0"
"בית דגן קרינה","31/05/2025 03:40","0","0","0"
"בית דגן קרינה","31/05/2025 03:50","0","0","0"
"בית דגן קרינה","31/05/2025 04:00","0","0","0"
"בית דגן קרינה","31/05/2025 04:10","0","0","0"
"בית דגן קרינה","31/05/2025 04:20","0","0","0"
"בית דגן קרינה","31/05/2025 04:30","0","0","0"
"בית דגן קרינה","31/05/2025 04:40","0","0","0"
"בית דגן קרינה","31/05/2025 04:50","0","0","0"
"בית דגן קרינה","31/05/2025 05:00","0","0","0"
"בית דגן קרינה","31/05/2025 05:10","0","0","0"
"בית דגן קרינה","31/05/2025 05:20","0","0","0"
"בית דגן קרינה","31/05/2025 05:30","0","0","0"
"בית דגן קרינה","31/05/2025 05:40","0","0","0"
"בית דגן קרינה","31/05/2025 05:50","9","9","0"
"בית דגן קרינה","31/05/2025 06:00","17","19","1"
"בית דגן קרינה","31/05/2025 06:10","27","30","6"
"בית דגן קרינה","31/05/2025 06:20","39","41","9"
"בית דגן קרינה","31/05/2025 06:30","48","78","117"
"בית דגן קרינה","31/05/2025 06:40","55","122","316"
"בית דגן קרינה","31/05/2025 06:50","61","155","381"
"בית דגן קרינה","31/05/2025 07:00","66","188","428"
"בית דגן קרינה","31/05/2025 07:10","70","223","469"
"בית דגן קרינה","31/05/2025 07:20","74","257","502"
"בית דגן קרינה","31/05/2025 07:30","78","292","532"
"בית דגן קרינה","31/05/2025 07:40","81","328","559"
"בית דגן קרינה","31/05/2025 07:50","84","366","586"
"בית דגן קרינה","31/05/2025 08:00","87","403","608"
"בית דגן קרינה","31/05/2025 08:10","89","436","625"
"בית דגן קרינה","31/05/2025 08:20","91","463","629"
"בית דגן קרינה","31/05/2025 08:30","93","506","660"
"בית דגן קרינה","31/05/2025 08:40","95","542","676"
"בית דגן קרינה","31/05/2025 08:50","98","576","687"
"בית דגן קרינה","31/05/2025 09:00","99","611","702"
"בית דגן קרינה","31/05/2025 09:10","100","642","713"
"בית דגן קרינה","31/05/2025 09:20","101","672","723"
"בית דגן קרינה","31/05/2025 09:30","101","701","730"
"בית דגן קרינה","31/05/2025 09:40","103","731","738"
"בית דגן קרינה","31/05/2025 09:50","104","758","745"
"בית דגן קרינה","31/05/2025 10:00","107","783","748"
"בית דגן קרינה","31/05/2025 10:10","109","808","754"
"בית דגן קרינה","31/05/2025 10:20","110","834","761"
"בית דגן קרינה","31/05/2025 10:30","112","858","764"
"בית דגן קרינה","31/05/2025 10:40","113","879","767"
"בית דגן קרינה","31/05/2025 10:50","115","896","765"
"בית דגן קרינה","31/05/2025 11:00","118","916","767"
"בית דגן קרינה","31/05/2025 11:10","120","929","764"
"בית דגן קרינה","31/05/2025 11:20","121","945","766"
"בית דגן קרינה","31/05/2025 11:30","122","957","763"
"בית דגן קרינה","31/05/2025 11:40","124","969","763"
"בית דגן קרינה","31/05/2025 11:50","123","982","768"
"בית דגן קרינה","31/05/2025 12:00","122","993","772"
"בית דגן קרינה","31/05/2025 12:10","123","999","773"
"בית דגן קרינה","31/05/2025 12:20","126","1000","765"
"בית דגן קרינה","31/05/2025 12:30","128","1001","762"
"בית דגן קרינה","31/05/2025 12:40","129","1007","764"
"בית דגן קרינה","31/05/2025 12:50","131","1007","761"
"בית דגן קרינה","31/05/2025 13:00","130","1004","759"
"בית דגן קרינה","31/05/2025 13:10","131","1000","755"
"בית דגן קרינה","31/05/2025 13:20","131","995","753"
"בית דגן קרינה","31/05/2025 13:30","129","991","757"
"בית דגן קרינה","31/05/2025 13:40","127","981","756"
"בית דגן קרינה","31/05/2025 13:50","126","966","750"
"בית דגן קרינה","31/05/2025 14:00","126","952","745"
"בית דגן קרינה","31/05/2025 14:10","126","941","745"
"בית דגן קרינה","31/05/2025 14:20","125","926","742"
"בית דגן קרינה","31/05/2025 14:30","126","908","735"
"בית דגן קרינה","31/05/2025 14:40","125","892","734"
"בית דגן קרינה","31/05/2025 14:50","124","872","730"
"בית דגן קרינה","31/05/2025 15:00","124","848","721"
"בית דגן קרינה","31/05/2025 15:10","123","827","716"
"בית דגן קרינה","31/05/2025 15:20","123","803","709"
"בית דגן קרינה","31/05/2025 15:30","124","774","693"
"בית דגן קרינה","31/05/2025 15:40","122","748","688"
"בית דגן קרינה","31/05/2025 15:50","120","721","681"
"בית דגן קרינה","31/05/2025 16:00","118","692","673"
"בית דגן קרינה","31/05/2025 16:10","116","663","667"
"בית דגן קרינה","31/05/2025 16:20","113","633","661"
"בית דגן קרינה","31/05/2025 16:30","104","610","675"
"בית דגן קרינה","31/05/2025 16:40","98","577","671"
"בית דגן קרינה","31/05/2025 16:50","98","540","648"
"בית דגן קרינה","31/05/2025 17:00","100","507","629"
"בית דגן קרינה","31/05/2025 17:10","101","467","593"
"בית דגן קרינה","31/05/2025 17:20","104","427","551"
"בית דגן קרינה","31/05/2025 17:30","106","387","509"
"בית דגן קרינה","31/05/2025 17:40","105","353","482"
"בית דגן קרינה","31/05/2025 17:50","102","318","452"
"בית דגן קרינה","31/05/2025 18:00","100","278","408"
"בית דגן קרינה","31/05/2025 18:10","97","244","374"
"בית דגן קרינה","31/05/2025 18:20","90","204","326"
"בית דגן קרינה","31/05/2025 18:30","83","164","268"
"בית דגן קרינה","31/05/2025 18:40","75","129","209"
"בית דגן קרינה","31/05/2025 18:50","65","99","154"
"בית דגן קרינה","31/05/2025 19:00","54","72","100"
"בית דגן קרינה","31/05/2025 19:10","41","49","32"
"בית דגן קרינה","31/05/2025 19:20","27","29","0"
"בית דגן קרינה","31/05/2025 19:30","14","15","0"
"בית דגן קרינה","31/05/2025 19:40","4","3","0"
"בית דגן קרינה","31/05/2025 19:50","0","0","0"
"בית דגן קרינה","31/05/2025 20:00","0","0","0"
"בית דגן קרינה","31/05/2025 20:10","0","0","0"
"בית דגן קרינה","31/05/2025 20:20","0","0","0"
"בית דגן קרינה","31/05/2025 20:30","0","0","0"
"בית דגן קרינה","31/05/2025 20:40","0","0","0"
"בית דגן קרינה","31/05/2025 20:50","0","0","0"
"בית דגן קרינה","31/05/2025 21:00","0","0","0"
"בית דגן קרינה","31/05/2025 21:10","0","0","0"
"בית דגן קרינה","31/05/2025 21:20","0","0","0"
"בית דגן קרינה","31/05/2025 21:30","0","0","0"
"בית דגן קרינה","31/05/2025 21:40","0","0","0"
"בית דגן קרינה","31/05/2025 21:50","0","0","0"
"בית דגן קרינה","31/05/2025 22:00","0","0","0"
"בית דגן קרינה","31/05/2025 22:10","0","0","0"
"בית דגן קרינה","31/05/2025 22:20","0","0","0"
"בית דגן קרינה","31/05/2025 22:30","0","0","0"
"בית דגן קרינה","31/05/2025 22:40","0","0","0"
"בית דגן קרינה","31/05/2025 22:50","0","0","0"
"בית דגן קרינה","31/05/2025 23:00","0","0","0"
"בית דגן קרינה","31/05/2025 23:10","0","0","0"
"בית דגן קרינה","31/05/2025 23:20","0","0","0"
"בית דגן קרינה","31/05/2025 23:30","0","0","0"
"בית דגן קרינה","31/05/2025 23:40","0","0","0"
"בית דגן קרינה","31/05/2025 23:50","0","0","0"
"בית דגן קרינה","01/06/2025 00:00","0","0","0"
"בית דגן קרינה","01/06/2025 00:10","0","0","0"
"בית דגן קרינה","01/06/2025 00:20","0","0","0"
"בית דגן קרינה","01/06/2025 00:30","0","0","0"
"בית דגן קרינה","01/06/2025 00:40","0","0","0"
"בית דגן קרינה","01/06/2025 00:50","0","0","0"
"בית דגן קרינה","01/06/2025 01:00","0","0","0"
"בית דגן קרינה","01/06/2025 01:10","0","0","0"
"בית דגן קרינה","01/06/2025 01:20","0","0","0"
"בית דגן קרינה","01/06/2025 01:30","0","0","0"
"בית דגן קרינה","01/06/2025 01:40","0","0","0"
"בית דגן קרינה","01/06/2025 01:50","0","0","0"
"בית דגן קרינה","01/06/2025 02:00","0","0","0"
"בית דגן קרינה","01/06/2025 02:10","0","0","0"
"בית דגן קרינה","01/06/2025 02:20","0","0","0"
"בית דגן קרינה","01/06/2025 02:30","0","0","0"
"בית דגן קרינה","01/06/2025 02:40","0","0","0"
"בית דגן קרינה","01/06/2025 02:50","0","0","0"
"בית דגן קרינה","01/06/2025 03:00","0","0","0"
"בית דגן קרינה","01/06/2025 03:10","0","0","0"
"בית דגן קרינה","01/06/2025 03:20","0","0","0"
"בית דגן קרינה","01/06/2025 03:30","0","0","0"
"בית דגן קרינה","01/06/2025 03:40","0","0","0"
"בית דגן קרינה","01/06/2025 03:50","0","0","0"
"בית דגן קרינה","01/06/2025 04:00","0","0","0"
"בית דגן קרינה","01/06/2025 04:10","0","0","0"
"בית דגן קרינה","01/06/2025 04:20","0","0","0"
"בית דגן קרינה","01/06/2025 04:30","0","0","0"
"בית דגן קרינה","01/06/2025 04:40","0","0","0"
"בית דגן קרינה","01/06/2025 04:50","0","0","0"
"בית דגן קרינה","01/06/2025 05:00","0","0","0"
"בית דגן קרינה","01/06/2025 05:10","0","0","0"
"בית דגן קרינה","01/06/2025 05:20","0","0","0"
"בית דגן קרינה","01/06/2025 05:30","0","0","0"
"בית דגן קרינה","01/06/2025 05:40","0","0","0"
"בית דגן קרינה","01/06/2025 05:50","9","10","0"
"בית דגן קרינה","01/06/2025 06:00","19","22","0"
"בית דגן קרינה","01/06/2025 06:10","31","34","2"
"בית דגן קרינה","01/06/2025 06:20","44","49","6"
"בית דגן קרינה","01/06/2025 06:30","57","77","61"
"בית דגן קרינה","01/06/2025 06:40","68","107","139"
"בית דגן קרינה","01/06/2025 06:50","77","138","177"
"בית דגן קרינה","01/06/2025 07:00","86","176","217"
"בית דגן קרינה","01/06/2025 07:10","92","209","309"
"בית דגן קרינה","01/06/2025 07:20","98","239","359"
"בית דגן קרינה","01/06/2025 07:30","108","279","397"
