run,train_start,train_end,test_start,test_end,train_rows,test_rows,mae_internal_rh_pct,rmse_internal_rh_pct,r2_internal_rh_pct
32,2025-05-29 01:00:00,2025-07-10 01:10:00,2025-07-10 01:20:00,2025-07-11 01:10:00,6048,144,1.159320370052762,1.532773391499768,0.9794752571572116
33,2025-05-29 01:00:00,2025-07-11 01:10:00,2025-07-11 01:20:00,2025-07-12 01:10:00,6192,144,1.7104783277333575,2.2046384371443275,0.9631854356180959
34,2025-05-29 01:00:00,2025-07-12 01:10:00,2025-07-12 01:20:00,2025-07-13 01:10:00,6336,144,2.057284090040419,2.81112209061621,0.9486366338441203
35,2025-05-29 01:00:00,2025-07-13 01:10:00,2025-07-13 01:20:00,2025-07-14 01:10:00,6480,144,1.4239430833028162,1.8551278137231266,0.9525386360633559
36,2025-05-29 01:00:00,2025-07-14 01:10:00,2025-07-14 01:20:00,2025-07-15 01:10:00,6624,144,0.8894073468085393,1.2168410241969088,0.9826734877363041
37,2025-05-29 01:00:00,2025-07-15 01:10:00,2025-07-15 01:20:00,2025-07-16 01:10:00,6768,144,1.368807189534505,1.6863361552332083,0.9720006911047101
38,2025-05-29 01:00:00,2025-07-16 01:10:00,2025-07-16 01:20:00,2025-07-17 01:20:00,6912,144,1.801178918123033,2.3126565278244713,0.9455123727291549
39,2025-05-29 01:00:00,2025-07-17 01:20:00,2025-07-17 01:30:00,2025-07-18 01:20:00,7056,144,2.069995712293837,2.6687652019105896,0.9335946237091041
40,2025-05-29 01:00:00,2025-07-18 01:20:00,2025-07-18 01:30:00,2025-07-19 01:20:00,7200,144,2.186879445156521,3.1400154101378166,0.9049186978459843
41,2025-05-29 01:00:00,2025-07-19 01:20:00,2025-07-19 01:30:00,2025-07-20 01:20:00,7344,144,1.5175974881015355,1.9117055972630352,0.9641004402641628
42,2025-05-29 01:00:00,2025-07-20 01:20:00,2025-07-20 01:30:00,2025-07-21 01:20:00,7488,144,1.3174993954247372,1.9485501731088828,0.9674293463695699
43,2025-05-29 01:00:00,2025-07-21 01:20:00,2025-07-21 01:30:00,2025-07-22 01:20:00,7632,144,1.1720703246849904,1.4590187870034885,0.9782678952996254
44,2025-05-29 01:00:00,2025-07-22 01:20:00,2025-07-22 01:30:00,2025-07-23 01:20:00,7776,144,1.2379289792412649,1.5477167904078954,0.9764748254249775
45,2025-05-29 01:00:00,2025-07-23 01:20:00,2025-07-23 01:30:00,2025-07-24 01:20:00,7920,144,1.7837546660647918,2.2678808087526328,0.9284919185847226
46,2025-05-29 01:00:00,2025-07-24 01:20:00,2025-07-24 01:30:00,2025-07-25 01:20:00,8064,144,1.3987576085306808,1.769231833288321,0.9703070397683261
